SKU,Test Result,Status,Media,Issue,Remarks
BG12590 TRR7,BG12590 TRR7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C000.png,,
MB10563 TSS14,"MB10563 TS814 ",Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C002.png,S as 8,
MB02844 TPR1,MB02844 TPRI,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C004.png,1 as I,
PN09469 TSG5,PN09469 TSG5,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C005.png,,
PN09469 TSG3,PN09469 TSGB,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C006.png,3 as B,
CA00523 TP6,CA00523 TPS,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C007.png,6 as S,
MB02844 TPR3,MB02844 _PR3,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C010.png,Skipped T,
CH06713 TG15,CH06/13 TG15,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C012.png,7 as /,
MB07549 TMJ4,MB07549 TMJ4,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C013.png,,
DL00057 TMD1,DL00057 TMD1,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C014.png,,
BG01017 TL12,BG01017 TL12,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C015.png,,
BG12590 TRR10,BG12590 TRR10,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C019.png,,
PN09469 TSG10,PN09469 TSG10,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C022.png,,
PN09469 TSG1,PN09469 TSG1,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C023.png,,
MB10571 TPP11,MB_0571 TPP11,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C024.png,Skipped 1,
MB04960 TA7,MB04960 TA7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C025.png,,
PN09469 TSG8,PN09469 TSGB,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C026.png,8 as B,
BG01017 TL7,BG01017 TL7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C027.png,,
MB02844 TPR7,MB02844 TPR7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C028.png,,
CH06713 TG13,CH06713 TG13,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C029.png,,
HY05440 TM1,HY05440 TMI,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C030.png,1 as I,
OT06284 TSD11,OT06284 TSD11,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C032.png,,
OT06284 TSD12,OT06284 TSD12,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C033.png,,
CH03210 TJS6,CH03210 TUSS,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C036.png,"J as U, 6 as S",
PN05440 TR3,PN05440 TR3,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C038.png,,
CH06035 TNR6,CH06035 TNRS,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C039.png,6 as S,
HY05440 TM7,HY05440 TM7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C040.png,,
MB05413 TSD18,MB05413 TSD18,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C041.png,,
OT06284 TSD8,OT06284 TSD8,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C042.png,,
OT06284 TSD8,OT06284 TSD8,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C043.png,,
HY05440 TM7,HY05440 TMZ,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C044.png,7 as Z,
MB08629 TTU2,MB08629 TTU2,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C045.png,,
MB04960 TA6,MB04960 TAS,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C046.png,6 as S,
MB04960 TA7,MB04950 2__,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C047.png,"6 as 5, T as 2, Skipped A7",
DL02297 TM1,DL02297 TMI,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C101.png,1 as I,Text - Upside down
M502494 TVP6,M302494 TYP6,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C103.png,"5 as 3, V as Y",Text - Outside
HY06434 TVK2,HV06434 TVK2,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C108.png,Y as V,
HY06434 TVK2,HY06434 TVK2,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C109.png,,
HY05440 TM7,HY05440 TM7,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C117.png,,
HY06434 TVK8,HY06434 TVKE,Rejected,Test%20fbbb867a3c144cc2a349d810e51afaa7/C118.png,8 as E,
HY06434 TVK4,HY06434 TVK4,Approved,Test%20fbbb867a3c144cc2a349d810e51afaa7/C121.png,,